config,client,run_number,run_id,wh_winner,wh_bid_delta,wh_south_score,wh_central_score,wh_north_score,est_winner,est_bid_delta,cost_score,speed_score
C1,quickship,6,192695b7-a2b8-4918-8db8-162e99edfaeb,warehouse-south,0.2757,0.5951,0.3245,0.3391,cost-estimator,0.2747,0.6092,0.3443
C1,quickship,7,73025af9-d4fc-4716-8862-0c0531ae3c1f,warehouse-south,0.2749,0.641,0.3554,0.3785,cost-estimator,0.2762,0.6531,0.3651
C1,quickship,8,ad826e7e-fb6f-40ba-9e78-c8dbef84c256,warehouse-south,0.2749,0.5925,0.3399,0.3429,speed-estimator,0.2753,0.6199,0.3709
C1,quickship,9,7f826b5e-f2d3-4c48-8eaf-7c13024081c7,warehouse-south,0.275,0.628,0.3506,0.3323,cost-estimator,0.2753,0.6345,0.3446
C1,quickship,10,bb5fad9b-4309-4216-babc-e57cea2a2362,warehouse-south,0.276,0.6253,0.3545,0.3424,cost-estimator,0.2758,0.6334,0.3667
C1,nordicsteel,6,1b01a48d-21fd-4073-8937-23eed777ce4a,warehouse-north,0.2614,0.3553,0.3415,0.6179,speed-estimator,0.2748,0.3336,0.6326
C1,nordicsteel,7,44642d04-ff04-4554-97d2-d9506814cf20,warehouse-north,0.2618,0.348,0.3371,0.6375,speed-estimator,0.2744,0.3549,0.6297
C1,nordicsteel,8,f0f051c7-2dbc-4512-9af1-1ed31d3522f5,warehouse-north,0.2635,0.3803,0.3442,0.6477,speed-estimator,0.2738,0.3653,0.6258
C1,nordicsteel,9,ad94eadf-71cd-48bc-b695-68ffb8a0fded,warehouse-north,0.2568,0.3708,0.3533,0.6368,speed-estimator,0.275,0.3252,0.6188
C1,nordicsteel,10,22dc0276-3003-4e2a-befa-c130523714a3,warehouse-north,0.2609,0.3783,0.374,0.6182,speed-estimator,0.2748,0.3608,0.6205
C2,freshco,4,65345e03-2dfe-4362-907c-812307147de5,warehouse-central,0.0,0,0,0,speed-estimator,0.0,0,0
C2,freshco,6,f8d5d55b-b39f-4cb6-a551-cd98507b6bae,warehouse-north,0.0,0,0,0,speed-estimator,0.0,0,0
C2,freshco,7,756b8347-bbbf-41a8-9d0f-7437818c5fe9,warehouse-central,0.0,0,0,0,speed-estimator,0.0,0,0
C2,freshco,8,9a0bb18d-a06b-4b6c-9cbc-f5e6638468ff,warehouse-north,0.0,0,0,0,cost-estimator,0.0,0,0
C2,freshco,9,400e52c6-6a8d-4bc8-bef0-1cd7e68a8138,warehouse-north,0.0,0,0,0,cost-estimator,0.0,0,0
C2,freshco,10,760253be-809f-45e0-a183-6944de5e0044,warehouse-north,0.0,0,0,0,cost-estimator,0.0,0,0
C2,techparts,6,4b69d590-fe1f-4498-a8db-d7367aed9023,warehouse-north,0.0,0,0,0,speed-estimator,0.0,0,0
C2,techparts,7,957a58fa-5657-4f87-87e7-69972e2708e1,warehouse-central,0.0,0,0,0,speed-estimator,0.0,0,0
C2,techparts,8,3957e852-3e56-4ed9-92e2-82f986ba1d77,warehouse-central,0.0,0,0,0,speed-estimator,0.0,0,0
C2,techparts,9,e14d1ff9-9c36-4cf4-a44c-89454a679b58,warehouse-north,0.0,0,0,0,speed-estimator,0.0,0,0
C2,techparts,10,6dac71df-5f1c-4ef1-a5b8-e144f0510aa6,warehouse-central,0.0,0,0,0,speed-estimator,0.0,0,0
C2,greenleaf,6,f230bcf8-51a8-44e2-b4ac-2ba85ebb6914,warehouse-central,0.0,0,0,0,speed-estimator,0.0,0,0
C2,greenleaf,7,4574c938-f9c2-47c0-b1b9-973fb1b82838,warehouse-central,0.0,0,0,0,speed-estimator,0.0,0,0
C2,greenleaf,8,e1259fe8-e195-4aa1-923f-e28f56761842,warehouse-central,0.0,0,0,0,speed-estimator,0.0,0,0
C2,greenleaf,9,020e9f87-1dc8-459e-a237-f89a4e18eea3,warehouse-central,0.0,0,0,0,speed-estimator,0.0,0,0
C2,greenleaf,10,c5371282-6dcf-48b3-894c-ef62f7f58cce,warehouse-central,0.0,0,0,0,speed-estimator,0.0,0,0
C2,quickship,6,a2748958-a5ab-4cb7-845a-477f22f8d18e,warehouse-north,0.0,0,0,0,cost-estimator,0.0,0,0
C2,quickship,7,e596a908-d62c-4ca1-87d6-fe9e9b6f2272,warehouse-central,0.0,0,0,0,cost-estimator,0.0,0,0
C2,quickship,8,e32d5836-5aee-4bd0-9d58-a7ffd7126304,warehouse-central,0.0,0,0,0,cost-estimator,0.0,0,0
C2,quickship,9,f0e6c544-e371-41da-be3c-4309b25a5bff,warehouse-central,0.0,0,0,0,cost-estimator,0.0,0,0
C2,quickship,10,5ee69426-2c46-4197-8dfb-53b62bd9aa41,warehouse-central,0.0,0,0,0,cost-estimator,0.0,0,0
C2,nordicsteel,6,27912def-eff9-4956-9eda-e20bccac892e,warehouse-south,0.0,0,0,0,cost-estimator,0.0,0,0
C2,nordicsteel,7,3e852d54-df14-42c1-9156-3f9125f3de9d,warehouse-south,0.0,0,0,0,cost-estimator,0.0,0,0
C2,nordicsteel,8,db0076c5-4cff-427a-a05e-09bf473c9ad0,warehouse-south,0.0,0,0,0,cost-estimator,0.0,0,0
C2,nordicsteel,9,3736163b-dd36-498f-bfb9-72d5129c2589,warehouse-south,0.0,0,0,0,cost-estimator,0.0,0,0
C2,nordicsteel,10,a6f3ca88-6197-42bb-ac42-b535232d31eb,warehouse-south,0.0,0,0,0,cost-estimator,0.0,0,0
C3,freshco,6,5f4539b2-788b-4805-a355-c604a1791113,warehouse-south,0.2912,0.6971,0.342,0.4202,cost-estimator,0.3631,0.6845,0.3262
C3,freshco,7,88658f87-6839-4346-98e5-a051e8f49594,warehouse-south,0.3204,0.6831,0.3103,0.3813,cost-estimator,0.4593,0.7052,0.334
C3,freshco,8,0301ba5d-1042-4c82-983f-da030c8fc964,warehouse-north,0.2647,0.6979,0.3055,0.4041,cost-estimator,0.4223,0.7117,0.3193
C3,freshco,9,4ebc386e-f2be-4282-945f-8a37d3c34bcc,warehouse-south,0.2773,0.6908,0.3053,0.4016,cost-estimator,0.3194,0.67,0.3424
C3,freshco,10,40f07f10-3c62-4008-9a60-56b78ec91afd,warehouse-south,0.3099,0.684,0.3386,0.4203,cost-estimator,0.333,0.6406,0.4038
C3,techparts,6,d99c3794-08fa-4c22-8c75-425943bcaf7e,warehouse-central,0.2138,0.4834,0.6877,0.4491,cost-estimator,0.4117,0.6902,0.3221
C3,techparts,7,5134f5aa-82e6-4362-8fcb-f9140745c846,warehouse-central,0.2188,0.4807,0.7012,0.4453,cost-estimator,0.3731,0.7039,0.33
C3,techparts,8,b1116e33-89cf-42b1-bf09-53b6f51ef53b,warehouse-central,0.2264,0.4927,0.6898,0.4145,cost-estimator,0.3645,0.6892,0.3663
C3,techparts,9,3188c67e-db86-4757-b53f-a7440b6d9567,warehouse-central,0.2224,0.4622,0.6937,0.4301,cost-estimator,0.3754,0.693,0.377
C3,techparts,10,99fd7ddd-e434-4da6-87fd-21521a17f8f8,warehouse-central,0.2157,0.4662,0.71,0.4474,cost-estimator,0.3542,0.7075,0.3684
C3,greenleaf,6,f8cae699-6107-4103-ad4b-c75dcef8c375,warehouse-north,0.224,0.4696,0.7091,0.435,speed-estimator,0.262,0.4612,0.6983
C3,greenleaf,7,835de8f6-944f-4a96-8b1a-eccad3f4d0f2,warehouse-south,0.22,0.5025,0.6977,0.441,speed-estimator,0.198,0.4574,0.6629
C3,greenleaf,8,ad6e34ee-9e72-4a74-8c90-d31260f80cef,warehouse-central,0.2177,0.4663,0.7011,0.43,cost-estimator,0.2163,0.4819,0.6041
C3,greenleaf,9,53503981-dc1f-41b7-b939-cd2f9ed1570d,warehouse-north,0.2194,0.5077,0.6893,0.4302,speed-estimator,0.2036,0.4722,0.6957
C3,greenleaf,10,b91473c6-dbcf-4059-8bcb-6e0a01d61d0a,warehouse-central,0.2209,0.4305,0.7003,0.4253,speed-estimator,0.2318,0.4894,0.6744
C3,quickship,6,569dce00-b87c-4396-99be-3c870d9d31b5,warehouse-south,0.2305,0.6815,0.4412,0.4643,cost-estimator,0.2301,0.7234,0.4646
C3,quickship,7,56c7cc1f-023a-43f3-af69-1071871562b2,warehouse-south,0.2301,0.6955,0.4992,0.4461,cost-estimator,0.2308,0.7025,0.4694
C3,quickship,8,dc07c4de-e44a-438c-8303-01a7f55f4b2a,warehouse-south,0.2295,0.7068,0.4534,0.4698,cost-estimator,0.2303,0.6953,0.5007
C3,quickship,9,bc9cda85-1466-4e84-a617-7f88116ee2b1,warehouse-south,0.2299,0.657,0.465,0.4582,speed-estimator,0.2309,0.7064,0.4646
C3,quickship,10,3d60ca7d-cb8e-4d9a-a927-444ff58bf7c4,warehouse-south,0.2295,0.7101,0.4633,0.4221,speed-estimator,0.2306,0.7147,0.4644
C3,nordicsteel,6,d4f0aaa9-6c8f-4c59-a4c8-6da5522276d9,warehouse-north,0.2185,0.4846,0.4862,0.7269,cost-estimator,0.2303,0.4585,0.6913
C3,nordicsteel,7,a6b17d3a-97ed-4670-b6e4-0aa29f8c2dcf,warehouse-north,0.2187,0.4468,0.4726,0.7096,speed-estimator,0.2298,0.4856,0.7088
C3,nordicsteel,8,e06bfea4-90b5-4e88-a3cf-16caed9fac8e,warehouse-north,0.2202,0.4964,0.4771,0.6953,cost-estimator,0.2291,0.4394,0.7136
C3,nordicsteel,9,834b7f2d-785f-4795-b32c-2530a67bb00f,warehouse-north,0.2191,0.5013,0.4878,0.7096,speed-estimator,0.2287,0.4712,0.6869
C3,nordicsteel,10,d2abf0f7-3c65-466d-9388-6baa231583b5,warehouse-north,0.2186,0.4666,0.482,0.703,cost-estimator,0.2305,0.4727,0.7007
C3+C4,freshco,6,1dcb762d-5d47-4c59-a827-7602f393bbde,warehouse-south,0.2339,0.7094,0.483,0.4735,cost-estimator,0.2307,0.6977,0.4806
C3+C4,freshco,7,b9ab05d5-6bde-4801-9ea5-e32341534384,warehouse-south,0.2467,0.715,0.4799,0.4763,cost-estimator,0.2303,0.7051,0.4593
C3+C4,freshco,8,83e35d6c-3089-4fb9-a1b9-6430730e8495,warehouse-south,0.2259,0.7073,0.4718,0.4796,cost-estimator,0.2296,0.7214,0.4797
C3+C4,freshco,9,2e546151-8588-4a70-8d4a-453c46b82db9,warehouse-south,0.2336,0.7185,0.4869,0.4814,cost-estimator,0.231,0.6859,0.4554
C3+C4,freshco,10,c1f73609-0eb5-4284-b37a-84d97efe7aa4,warehouse-south,0.2461,0.6925,0.4767,0.4966,cost-estimator,0.231,0.6773,0.4482
C3+C4,techparts,6,4befd55b-2b4d-4998-bc5d-a1959ce6b025,warehouse-central,0.2118,0.5026,0.7142,0.4747,cost-estimator,0.2298,0.6853,0.499
C3+C4,techparts,7,490b72cd-d453-4a1a-97a7-717ae04bb44a,warehouse-central,0.2251,0.4684,0.699,0.4618,cost-estimator,0.2305,0.7186,0.4402
C3+C4,techparts,8,233934af-8823-44a4-855f-c5988a6f2e6f,warehouse-central,0.2177,0.4836,0.7063,0.46,cost-estimator,0.2303,0.7136,0.4541
C3+C4,techparts,9,c9f6121c-6d8a-4c7b-be82-48b807916aa6,warehouse-central,0.2212,0.4513,0.6686,0.4498,cost-estimator,0.2305,0.6955,0.4898
C3+C4,techparts,10,60c1db2b-547b-4206-b0fe-54b35d987eb4,warehouse-central,0.2248,0.4574,0.6804,0.5045,cost-estimator,0.2299,0.6984,0.4824
C3+C4,greenleaf,6,7ecb0d86-80db-40b3-b171-99114d96b920,warehouse-central,0.2188,0.4861,0.6972,0.4802,speed-estimator,0.2288,0.4782,0.7148
C3+C4,greenleaf,7,38c6889e-4ad7-45bc-b74c-89846faafdc9,warehouse-central,0.2183,0.468,0.7024,0.4527,speed-estimator,0.2284,0.4515,0.6872
C3+C4,greenleaf,8,b58af5f2-d48c-434e-aedd-268f735a957b,warehouse-central,0.2184,0.4652,0.7153,0.4674,speed-estimator,0.2272,0.4706,0.7011
