config,client,run_number,assignment_accuracy,warehouse_correct,estimator_correct,latency_seconds
C1,greenleaf,3,1.0,True,True,205.2
C1,greenleaf,3,0.5,False,True,205.5
C1,greenleaf,4,1.0,True,True,222.1
C1,greenleaf,4,0.0,False,False,206.2
C1,greenleaf,5,1.0,True,True,230.9
C1,greenleaf,5,1.0,True,True,213.4
C1,greenleaf,6,1.0,True,True,213.9
C1,greenleaf,6,0.5,True,False,201.5
C1,greenleaf,7,1.0,True,True,188.9
C1,greenleaf,7,0.5,True,False,206.1
C1,greenleaf,8,1.0,True,True,216.0
C1,greenleaf,8,0.5,False,True,227.6
C1,greenleaf,9,1.0,True,True,235.2
C1,greenleaf,9,0.5,False,True,215.0
C1,greenleaf,10,1.0,True,True,211.6
C1,greenleaf,10,0.5,False,True,237.5
C1,greenleaf,11,1.0,True,True,214.7
C1,greenleaf,12,0.5,False,True,214.6
C1,greenleaf,13,0.5,False,True,200.0
C1,greenleaf,14,0.0,False,False,223.3
C1,greenleaf,15,0.5,True,False,220.9
C1,greenleaf,16,1.0,True,True,216.5
C1,greenleaf,17,0.5,True,False,199.3
C1,greenleaf,18,0.5,True,False,221.2
C1,greenleaf,19,0.5,True,False,219.1
C1,greenleaf,20,1.0,True,True,206.4
C1,greenleaf,21,1.0,True,True,209.7
C1,greenleaf,22,0.5,True,False,221.3
C1,greenleaf,23,0.5,True,False,200.9
C1,greenleaf,24,0.5,True,False,205.5
C1,greenleaf,25,0.5,True,False,222.3
C1,greenleaf,26,1.0,True,True,226.5
C1,greenleaf,27,1.0,True,True,231.7
C1,greenleaf,28,1.0,True,True,199.6
C1,greenleaf,29,0.5,False,True,227.8
C1,greenleaf,30,0.0,False,False,211.9
C1,nordicsteel,1,1.0,True,True,166.1
C1,nordicsteel,1,1.0,True,True,161.4
C1,nordicsteel,1,1.0,True,True,230.8
C1,nordicsteel,2,1.0,True,True,165.4
C1,nordicsteel,2,1.0,True,True,165.4
C1,nordicsteel,2,1.0,True,True,208.6
C1,nordicsteel,3,1.0,True,True,163.3
C1,nordicsteel,3,0.0,False,False,135.1
C1,nordicsteel,4,1.0,True,True,150.8
C1,nordicsteel,4,0.5,True,False,144.8
C1,nordicsteel,5,1.0,True,True,142.7
C1,nordicsteel,5,0.5,True,False,162.7
C1,nordicsteel,6,1.0,True,True,146.3
C1,nordicsteel,6,1.0,True,True,165.7
C1,nordicsteel,7,1.0,True,True,157.4
C1,nordicsteel,7,0.0,False,False,169.6
C1,nordicsteel,8,1.0,True,True,167.3
